CPU,Compiler,Test,N,Align,Restrict,Threads/Ranks,TileSize,Time_s,GFLOPS,Speedup,Efficiency_%
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4096,1,1,4,16,2.86,48.09,0.77,19.34
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4096,1,1,4,32,1.98,69.34,1.12,27.89
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4096,1,1,4,64,3.08,44.62,0.72,17.95
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4096,1,1,4,128,3.62,38.02,0.61,15.29
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4096,1,1,8,16,1.46,94.01,1.51,18.9
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4096,1,1,8,32,1.25,109.69,1.76,22.06
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4096,1,1,8,64,1.99,69.06,1.11,13.89
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4096,1,1,8,128,2.05,66.98,1.08,13.47
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4096,1,1,16,16,1.52,90.18,1.45,9.07
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4096,1,1,16,32,1.34,102.34,1.65,10.29
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4096,1,1,16,64,1.43,95.84,1.54,9.64
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4096,1,1,16,128,1.72,79.72,1.28,8.02
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4096,1,1,24,16,1.28,107.63,1.73,7.21
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4096,1,1,24,32,1.29,106.54,1.71,7.14
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4096,1,1,24,64,1.53,89.77,1.44,6.02
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4096,1,1,24,128,1.73,79.35,1.28,5.32
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4100,1,1,4,16,2.91,47.43,0.76,19.01
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4100,1,1,4,32,2.01,68.54,1.1,27.47
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4100,1,1,4,64,1.58,87.46,1.4,35.06
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4100,1,1,4,128,1.66,82.89,1.33,33.22
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4100,1,1,8,16,1.48,92.95,1.49,18.63
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4100,1,1,8,32,1.04,132.16,2.12,26.49
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4100,1,1,8,64,1.0,138.12,2.21,27.68
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4100,1,1,8,128,0.99,139.38,2.23,27.93
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4100,1,1,16,16,1.43,96.46,1.55,9.67
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4100,1,1,16,32,1.04,132.92,2.13,13.32
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4100,1,1,16,64,0.92,150.65,2.42,15.1
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4100,1,1,16,128,0.92,149.34,2.39,14.96
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4100,1,1,24,16,1.1,124.86,2.0,8.34
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4100,1,1,24,32,0.92,149.5,2.4,9.99
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4100,1,1,24,64,0.86,159.35,2.55,10.65
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,4100,1,1,24,128,0.98,141.38,2.27,9.44
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,8192,1,1,4,16,20.74,53.03,0.85,21.24
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,8192,1,1,4,32,29.72,36.99,0.59,14.82
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,8192,1,1,4,64,32.79,33.53,0.54,13.43
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,8192,1,1,4,128,29.08,37.8,0.61,15.14
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,8192,1,1,8,16,10.86,101.24,1.62,20.28
12th Gen Intel(R) Core(TM) i9-12900K,gcc,omp-tile,8192,1,1,8,32,15.47,71.07,1.14,14.23
